,review,stars,title
10,"The media could not be loaded.
                



 The cover says Head First Data Analysis. I opened the book today and turns out it’s a misprint - the inside is all “Head Start Kotlin”. Nothing about data analysis. I missed my return window too :(",1.0 out of 5 stars,"Head First Data Analysis: A learner's guide to big numbers, statistics, and good decisions"
11,"This book does a thorough job covering the concept of data analysis, touching on both the soft side (requirements gathering, mental models) and the technical side (Excel, R).  Like other ""Head First"" titles, it does it in an entertaining manner that makes reading the book a joy.  The material is presented more like an enlightening conversation with an intelligent teacher than a brain dump of facts and theories.",5.0 out of 5 stars,"Head First Data Analysis: A learner's guide to big numbers, statistics, and good decisions"
12,The book itself is useful. I like the way it takes the reader through one example problem at a time and guides the thought process needed to solve the problem. The only thing I don't like is that the print is so faint on some of the pages that I can hardly read it. It looks like a bad printing job or like the presses were running out of ink when this book was created. Some of the screen shots are so washed out (very pale gray color) that I can't see what I am suppose to click on.,3.0 out of 5 stars,"Head First Data Analysis: A learner's guide to big numbers, statistics, and good decisions"
13,"Shipped expeditiously, great condition. appreciated by receiver.",5.0 out of 5 stars,Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes
14,"This is my current favorite ""general"" book on Excel.  There are a few other books on specific features of Excel (such as Tables, PowerQuery, and VBA) that I would probably rank slightly higher as they provide more depth on their specific areas.  But this book touches a lot of topics while staying very practical.  There are numerous features, tips, and warnings that intermediate and advanced Excel users will benefit from.My only complaint is that the book is printed in black & white.  Some images would benefit from being in color or at a minimum more nuanced shading as the background theme is quite dark.  While annoying on some images, this does not detract from the overall usefulness of the book.",5.0 out of 5 stars,Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes
15,"Tout le monde peut avoir besoin de travailler sur des données et Excel est un excellent outil. Encore faut-il savoir comment l'utiliser et l'utiliser correctement.Un livre superbement conçu, très bien écrit, à la portée de tous. Des exemples précis, des fichiers disponibles pour reprendre les différents cas de figure.Recommandé à tous ceux qui désirent améliorer leurs connaissances sur Excel dans le domaine du traitement des données, à titre personnel ou professionnel.",5.0 out of 5 stars,Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes
16,"I got this book when I was transitioning to doing data science with Python and was struggling to become familiar with standard tools. It's written by the creator of Pandas, and follows the style of the Pandas documentation: dense, telegraphic, peppered with examples.It's hard work because Wes McKinney often does not articulate why you would need to do something (assuming you are already knowledgeable on the underlying process), and writes like an impatient person who would rather be doing something else. Additionally examples often suffer from being both too long and too short - too long in that almost every example is on a toy dataset created from scratch, too short in that most of those datasets have only 5 or 10 elements and do not always showcase complex operations. Other examples (particularly involving time series) have an overabundance of data that make the critical results hard to spot. Frankly, my first month with Pandas was a miserable one.But I give the book 5 stars both because I came to love Pandas as I got more familiar with it, and because while McKinney is not fun to read, he does pack the book with useful information and it is (mostly) well organized. If anything it would benefit from being longer and with a more patient treatment of larger and more concrete datasets (eg the Titanic passenger dataset used in the Pandas documentation). The initial chapter on the basics of using Python could go - if you need this book, then you don't want to be trying to learn the rudiments of Python from it. If you can accept that you'll need a lot of bookmarks or margin notes to get through a rather steep learning curve, it will reward your persistence.",5.0 out of 5 stars,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython"
17,"This book has been my foundation of using python as a data analyst.This book primarily focuses on the pandas Python library, which is awesome at processing and organizing data (Python pandas is like MS Excel times 100. This is not an exaggeration). It also introduces the reader into numpy (lower level number crunching and arrays), matplotlib (data visualizations), scikitlearn (machine learning), and other useful data science libraries. The book contains other book recommendations for continuing education.Although this would be a challenging book for a brand new Python user, I would still recommend it, especially if you are currently doing a lot of work in MS Excel and/ or exporting data from databases. I had a few false starts learning Python, and my biggest stumbling block was lack of application in what I was learning. This book puts practical tools in the reader's hands very quickly. I personally don't have time to make goofy games etc. that other books have used as practice examples. Despite other reviews criticizing the use of random data throughout the book, I found the examples easy to follow and useful. I would also argue that learning how to generate random data is useful in itself (thus the purpose of the numpy random library), and that there are practical examples throughout the book. Chapter 14 devoted to real-world data analysis examples.I am almost finished with my second time through the book, this time working through every example. This book has been well worth the hours spent in it. For context, I previously relied on Excel, SQL, and some AutoHotKey. This book has significantly improved how I work.Thanks, Wes and team.",5.0 out of 5 stars,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython"
18,Well written by the creator of Pandas.  The author's copious use of code snippets to illustrate his points makes the material very usable.  The snippets are short enough to type by hand so you get the  frequent opportunity to play with the code and really understand the tools being presented.  And Pandas is awesome!,5.0 out of 5 stars,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython"
19,"This book covers all of the basics that you would want to know to get started in programming in Python for data analysis, as the title implies, but it doesn't really offer compelling real-world examples. The data seem to be made up and the analyses don't go into enough detail to help you really learn how pandas and numpy work. Overall this is a decent starter book but you will have to bookmark the python and pandas documentation online if you want to have a reference to all of the functionality those tools have, and there are many places online where you can get better examples to learn from. If you haven't made your mind up about which tool to use for data analysis, I highly recommend checking out dplyr in R, which has an excellent free book online (R for data science, hadley wickham). I find it very easy to learn and it is much easier to set up R and RStudio than it is to set up Python, even though I love Python and Pandas.",4.0 out of 5 stars,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython"
20,"Great reference to get started with numpy, pandas, and matplotlib. If you’re already familiar with these libraries, I wouldn’t recommend, as it is easier to just google the functions you’re trying to implement. The examples are good but would've been stronger if there was a story to them. Right now they are disjointed examples so it is a bit time consuming understanding the data set and goal for each example when you're looking at 100 examples all using different data.",4.0 out of 5 stars,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython"
21,"Learning Python, I found this book and the examples therein very friendly and instructive. I’d gladly recommend it to anyone.",5.0 out of 5 stars,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython"
22,"Clear, concise examples.  Author displays deep understanding of topic. Was key developer of Pandas.  Hierarchical indexing helped me breakthrough a log jam in my own development project.",5.0 out of 5 stars,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython"
23,My professor recommended this book for Network Administration course. I am a beginner in Python and found this book a little hard to understand.,3.0 out of 5 stars,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython"
24,"The book is mostly about the capabilities of Pandas + Jupyter notebook (and a little on Numpy). The book is structured to be best as a reference book instead a narrative from start to finish. The problem with this approach is for kindle readers like myself, I find myself using stack overflow to look for answers more than searching for it in this book.It was useful to go through the book once, but i won't be using it often from here onward. I suspect that it will become outdated quickly and getting answers to specific questions from Google is usually much faster and more reliable.",4.0 out of 5 stars,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython"
25,"Useful, especially in terms of getting data into and out of python from other data sources (databases, spreadsheets, etc.)",5.0 out of 5 stars,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython"
26,"This book helps in exploring data analysis, before getting into the heavy stuff.",4.0 out of 5 stars,Excel Data Analysis For Dummies (For Dummies (Computer/Tech))
27,Helped,4.0 out of 5 stars,Excel Data Analysis For Dummies (For Dummies (Computer/Tech))
28,"I did not find the information in the book to be of the value paid.-In an attempt to keep the book as relevant for as long as possible, the author made vague instructions for each command and purposely avoided more complicated issues that can arise. You would expect a book about data analysis to get a little more in depth and complicated.-You can also tell the book was written at different times for each command, there was no natural flow to the book, like you were getting a different author on each page/subject. Although he did say in the beginning of the book that it was pretty much as such.-As my headline says, this is a book of commands with recycled info. These same subjects are covered in greater depth in other books I've read that did not even advertise themselves as a ""data analysis"".Recommended alternative author: Michael Alexander - ex. Excel Dashboards and Reports",2.0 out of 5 stars,Excel Data Analysis For Dummies (For Dummies (Computer/Tech))
29,"A little difficult to follow up.  I had to use youtube to learn the concepts and then come back to read from the book. Not recommending for people who are beginners, but it could be useful for people who already know, but either forgot or need to use a just as reference book",2.0 out of 5 stars,Excel Data Analysis For Dummies (For Dummies (Computer/Tech))
30,"This book is great for fully understanding data science, data analytics, and the management and storage of gathered data. It also talks about the value of business intelligence and the fundamentals of data cleaning. Despite being a good book overall, it may use more detailed explanation.",4.0 out of 5 stars,Everything Data Analytics: A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights
31,"Gives you detailed explanation on anything data related. There are computer jargons that I didn't understand at first, but reading thru this book gave me that ""Aha!"" in my mind. I'm glad to have a copy of this book.",4.0 out of 5 stars,Everything Data Analytics: A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights
32,"I always had struggles in learning how to analyze data, but this book made it easier to understand. The boo, was able to introduce me to the basic and introductory lessons about data analysis which made my foundation to the subject more solid. Overall, the book is really a good way to start learning the basics. I hjghly recommend.",5.0 out of 5 stars,Everything Data Analytics: A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights
33,I thought this was a great intro to a very complicated topic,4.0 out of 5 stars,Everything Data Analytics: A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights
34,"This guide is comprehensive!I learned the difference between data analysis and business intelligence. And quantitative vs. qualitative research.Plenty of useful charts, graphs and illustrations for better comprehension. And information about various career paths within the field.Plus multiple QR codes for additional resource.Finally — BONUS chapter about statistics and probability.",5.0 out of 5 stars,Everything Data Analytics: A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights
35,What would we ever do without analysis? We would be dumbfounded and not be able to figure things out. Everything in life that we do has an analysis. This book is great for people who want to learn more about analysis and how it works and how to do it correctly. Bravo!,5.0 out of 5 stars,Everything Data Analytics: A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights
36,"Currently, I'm exploring data literacy to prepare for my upcoming research. I'm so glad I've found this book! As a beginner, this book is an excellent starter guide because it is provided necessary information about data analysis. I will surely recommend this book to my colleagues!",5.0 out of 5 stars,Everything Data Analytics: A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights
37,"Ms. Clarke's follow-up to How to Win With Data Visualizations is a highly useful work that now has a place in my supplemental teaching curriculum. Focused on the processes students need to master to use data effectively, her informal yet informative style leads the reader through the basics of data science in a manner that I have found effective with my students. Well covered topics include the nature of data science, what variables are and how they are used gives a solid foundation for subsequent topics. Particular attention is paid to the nature of data collection (critical in the lab science courses I teach) and how to organize it for later use is well structured. An interesting discussion of ""cleaning your data"" emphasizes something most students seem not to understand when they arrive in the class. Simply put, too many learners figure that if they glean data (from the Internet most often but also from their own labwork or studies) that is the end of it. Ms. Clarke marries the concept of data healthe to personal health and thus makes an excellent connection. She suggests a process that is workable and in practice in my classes in the spring of 2022, yielded a more solid approach than I had used previously.Subsequent discussions build on the foundations Ms. Clarke established earlier on and give the reader fertile ground to grow and individualize their own understanding of how data can be put to one's use be it in education as I do or running a business (which I used to do).Overall I would recommend this work for those interested in upping his/her/she/them/etc.'s skills in data usage. You will find it well worth your time.",5.0 out of 5 stars,Everything Data Analytics: A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights
38,It's an excellent resource for learning the basics of data science. It  also discusses the significance of business intelligence and understanding the processes. It is a good read!,5.0 out of 5 stars,Everything Data Analytics: A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights
39,"It's a great book to understand what exactly are data science, data analytics, and data collection management and storage processes. It also talks about the essential fundamentals of cleaning data; business intelligence and its importance. Overall it is a good book but needs a bit more in-depth explanation I suppose.",5.0 out of 5 stars,Everything Data Analytics: A Beginner's Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights
40,This has helped me strengthen my understanding of SQL and broaden my use of different techniques,5.0 out of 5 stars,SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights
41,Default price lately with O'Reilly is $40. Ugh. It's a technical book not a coffee table book,5.0 out of 5 stars,SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights
42,This review is not about quality of Cathy's book...which I'd love to review. It's about the quality from O'Reilly and Amazon. The book I received has the cover for SQL for Data Analysis...but the book/pages contained inside is for AWS Cookbook by John Culkin....so...don't judge a book by it's cover....,1.0 out of 5 stars,SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights
43,"I'm just starting out, and I'm finding the little examples in Ch. 2 meaningless without accompanying databases/code exercises.  Perhaps they'll be more meaningful with sample databases that are given later in the text.  That's offputting considering there is a GitHub repository.  Why not take full advantage of supplemental resources to make the examples more meaningful?",2.0 out of 5 stars,SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights
44,Examples in the book are the most realistic use cases of sql in product analytics I’ve come across.. highly recommended!!..,5.0 out of 5 stars,SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights
45,Started a new Data Analyst job which uses mostly SQL. This book has helped enormously in learning the ins and outs of DA with SQL and I suspect will be useful as a reference text going forward.,5.0 out of 5 stars,SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights
46,"Good guide to understand SQL and all its possibilities, mostly when nowadays Python and R hog all data analysis studies. However the scope of this book doesn't go beyond RDBS, so streaming (like KafkaSql) or text engines (like ElasticSearch using sql) are not mentioned.",5.0 out of 5 stars,SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights
47,"Professionally, I work a lot with quantitative data, through mathematics/biostatistics, building software, and research design. The world of words has long been a domain that has enchanted me even though symbols have comprised my main language. Recently, my wife has started graduate work using qualitative methods. I decided to fill my deficits in this world by reading this book. I am by no means expert or even experienced in it, but I merely have an interest.This book seems to be the seminal work in its field. The authors share their wisdom and experiences in this accessible textbook, now in a fourth edition. They cover the entire process from design and data collection to building a theory. They talk at length about coding as well as how to present your data. They even have a chapter on writing, with many encouragements to not be boring!The graphics and illustrations in this book are excellent and inspirational. I am always interested in creating visualizations to communicate research data effectively, and this book provided many muses in that regard. They talked about converting written accounts into concept maps and linking those to address “influences and affects” of a weak sort of causality. This book helped slow my mind down about the many moving parts in qualitative research so that I can focus more on a work’s reality and substance.This book is obviously geared towards researchers, whether new or old. The writing and presentation are accessible enough so that graduate students would be well-served by reading this work. Practitioners, of course, can benefit as well, but they likely would have read one of the prior three editions of this book. Those who, like me, are involved in other parts of the research enterprise can learn about their colleagues’ work, too. Finally, those who spend significant time building visuals to communicate concepts can learn from these authors’ analytical techniques.After finishing this work, I’m inspired about the myriad of ways non-quantitative data can be analyzed and concisely communicated to readers – especially in ways that aren’t written prose. Poetry, artful presentations, summarizing graphics, and matrix-tables together can create a mosaic to comport meaningful and accurate understanding to readers. My personal bar has been raised, and I suspect many other readers’ bars will be, too.",5.0 out of 5 stars,Qualitative Data Analysis: A Methods Sourcebook
48,"Accurately covers multiple approaches to doing a qualitative research project.  I used this in my class, and in preparing for my dissertation based on interviewing and quallitative research.",5.0 out of 5 stars,Qualitative Data Analysis: A Methods Sourcebook
49,"This text provided solutions, examples, insights, and modern techniques for my qualitative research study. The initial, focus, and axial coding concepts for qualitative analyses were in depth, professional, and readily applicable. I highly recommend this text. Excellent!!!!",5.0 out of 5 stars,Qualitative Data Analysis: A Methods Sourcebook
50,"This textbook has a lot of graphics and tables that are important for you to be able to read. However, kindle reduces the images so small none of the text is legible and on the cloud reader there is no way to zoom in on graphics. If you need an ebook version, definitely buy a non-kindle format as this is a waste of time and money.",1.0 out of 5 stars,Qualitative Data Analysis: A Methods Sourcebook
51,"One of the best on qualitative research. Nearly all details are told in a highly understandable style. Besides, some of you might find it sort of positivistic. One of the best, though.",5.0 out of 5 stars,Qualitative Data Analysis: A Methods Sourcebook
52,Great resource for understanding qualitative data Analysis,5.0 out of 5 stars,Qualitative Data Analysis: A Methods Sourcebook
53,Purchased for a class,5.0 out of 5 stars,Qualitative Data Analysis: A Methods Sourcebook
54,"Experiencia en estudios de posgrado (versión impresa, pasta blanda)Cada situación es única. La mía al menos, fue carecer de formación y experiencia previa en procesos de análisis de datos cualitativos para mostrar un desempeño competente a nivel posgrado. Llegó el momento en el que resultó necesario ir más allá de lo que la universidad pública estatal podía ofrecer, tanto en recursos (dado su limitado acceso a un acervo básico de libros actualizados en el tema y la limitación de acceso a bases de datos electrónicas) como en orientación inmediata. Es aquí donde el libro de Análisis Cualitativo de Datos de Miles, Huberman & Saldaña (2020) en su cuarta edición ilumina las posibilidades.Acostumbrado a la oferta competente de productos editados por Sage (no todos, pero sí la mayoría), la posibilidad de leer previamente el índice y algo del contenido en línea a través de Google Libros, me convenció de que sería una buena guía... y no me defraudó.Con un lenguaje accesible, siempre abierto a considerar que cada caso de investigación es único y que los contenidos presentados son sugerencias resultado de experiencias profesionales (pero no por eso recetas únicas de cómo proceder), el libro guía al lector a través de tres etapas para: 1) Tener una idea básica, pero amplia de lo que implica el análisis de datos cualitativos, 2) Cómo manejar los datos obtenidos en términos de: exploración, descripción, ordenamiento, explicación y predicción y 3) Cómo obtener y verificar las conclusiones obtenidas.Al ser una edición actualizada (al momento de esta reseña al menos), el contenido contempla un elenco de herramientas tecnológicas especializadas para el análisis de datos con funciones que permitan agilizar su procesamiento (recordando siempre que son solo eso, herramientas, no sustitutos del procesamiento intelectual que corresponde al investigador).Con una lógica de ""Descripción --> aplicaciones --> Ejemplo(s)"", el libro asegura la facilidad de comprensión para casi todos los casos que presenta. Las ilustraciones y tablas que acompañan sus explicaciones, son sencillas de seguir e interpretar como ejemplos.Opté por la versión impresa dado que, aunque la edición digital es más ""accesible"" en costo, eventualmente depende de dispositivos electrónicos para su consulta, algo que no siempre resulta benéfico a largo plazo (habrá a quienes les resulte indistinto el formato, pero yo lo he intentado y las versiones impresas facilitan más mi concentración). Tal vez, buscando maximizar las ganancias y reducir costos, en la versión impresa el formato del libro es relativamente grande y las letras de tamaño pequeño (como un Times New Roman de 10 pts. aprox.), resultando en un formato poco práctico para su manejo. Comparativamente ""The Coding manual for cualitative resarches"" (Saldaña, 2021), tiene un poco más de páginas pero su tamaño de formato resulta mucho más práctico de manejar.El gran pero es el precio que, en México al menos, son palabras mayores (alrededor de USD$80.00 al tipo de cambio el día de la reseña). Ojalá que este tipo de publicaciones, que bien podrían ser libros de texto para mejorar el proceso de investigadores/as en formación, tuvieran un costo más accesible sin tener que optar por versiones digitales.",4.0 out of 5 stars,Qualitative Data Analysis: A Methods Sourcebook
55,The Product is well structured and contains good descriptions of how qualitative data analysis is done. I as a student like the setup and logic.  it isn't dry duo the theory instead  it is made to be interesting and helpful if one needs to do a case study or a qualitative  data analysis.  So for people  interested in this topic it will be good for. Anybody else not into this topic shouldn't  use it,5.0 out of 5 stars,Qualitative Data Analysis: A Methods Sourcebook
56,"Quick delivery, good quality",5.0 out of 5 stars,Qualitative Data Analysis: A Methods Sourcebook
57,"Just what my review title says. This book is an excellent and clearly written introduction to working with the R language. There are many step by step examples that start at the beginning with installing R.  That said, the book itself is rather flimsy and arrived with a bent back cover and some crumpled pages. If the book itself weren’t so excellent, I’d return it for a refund.",3.0 out of 5 stars,"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse"
58,"I've used R in Action for many years. Author does a good job introducing R and the tidyverse. The tidyverse is the main set of packages users need for data science. I highly recommend this book if you are just getting started, even for an intermediate user such as myself, it's a great resource.",5.0 out of 5 stars,"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse"
59,"The content is great, but the shipping is not: the book is very damaged, the cover is fold, the first page is torn and my ebook code is missing.",3.0 out of 5 stars,"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse"
60,"Dr. Robert I. Kabacoff's R in Action has been my go-to R reference book since its first edition came out in 2011. I reviewed the second edition here on Amazon in 2015 and have been relying on that book since then. I have never used R frequently enough to get really good at it. Yet, when I do need to work with it, I have grabbed my now well-used copy of R in Action, Second Edition, and found the instructions and examples needed to complete my tasks. (It's still a good book for getting started with R, by the way.) That said, R in Action, Third Edition, is a real eye-opener for me. I didn't realize the program had gained so many enticing new features and capabilities over the past seven years. Kabacoff's updated book includes ""extensive coverage of tidyverse approaches to data management and analysis."" At least nine of the book's chapters and  three of its appendices have been expanded and updated. Some corrections and changes also have been made to examples and descriptions carried over from the second edition. In all, more than 200 pages of new material are presented. Some of the new sections include how to use RStudio ""for programming, debugging, report writing, and package creation..."" The package creation descriptions also cover ""how to share and promote your packages through CRAN, GitHub, and software-generated websites."" The latest edition is a hefty book, now nearly 600 pages in print form. Many of us today are dealing with new surges of data, and we need better ways to manipulate it, format it, display it, and manage it for the most efficient storage and retrieval. The tidyverse approach to data management and data analysis has its critics and its advocates. I don't know enough about it yet to render an opinion. But whether you are an R newcomer, an intermediate user, or someone who uses R extensively each day, you should consider having R in Action, Third Edition, within easy reach. You'll likely need it in the months and years ahead.My thanks to Manning Publications for sending a review copy.",5.0 out of 5 stars,"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse"
61,"An excellent book! It does a comprehensive analysis of almost all important topics that are useful for data analysis, and provides detailed R codes to go along with them. The book helped me to navigate the R learning curve in a very span of time and feel pretty comfortable with the language.",5.0 out of 5 stars,"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse"
62,"A comprehensive information source for data analysis with R, from the simpler to advance methods",5.0 out of 5 stars,"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse"
63,"I bought the ebook directly from the publisher, Manning. I especially liked the examples and the practical approach. I have used and taught R for a number of years, and I found the examples useful and will be using some of them in class, too. However, I would not recommend this book for absolute beginners: the author has opted to base his exposition on RStudio, ggplot2 and ""Tidyverse"" packages like dplyr, instead of sticking to base R and introducing powerful high performing packages like data.table. I do not follow his reasoning (""most powerful and popular""), certainly not when it comes to learning R in the first place. Unfortunately, many authors rewrite their books because they feel that the ""Tidyverse"" and its approach is the way of the future. I have a more sceptical position towards these developments (please check out ""TidyverseSceptic"" on GitHub for more details). Hence, for beginners, I think the 2nd edition of this book is to be preferred over the 3rd edition. The 2nd edition is just brilliant, and I am glad that I obtained it from Manning for free when buying the 3rd edition. In practice, I often use the ""livebook"" version of the book (another innovation by Manning - see picture).",5.0 out of 5 stars,"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse"
64,"When I first applied for my PhD program, I knew I was in trouble if I did not have a solid understanding of R. I picked R in action because it allowed me to understand how to use R specifically as it relates to data analysis! There are many R books out there, but this one stands out from the rest. R in Action breaks down each step to make it easy to understand, and accessible for anyone who wants to learn R!",5.0 out of 5 stars,"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse"
65,"One of the best books, It has all the parts covered to go from novice to advance and I believe it would be an asset, The book is very structured and covers the key part of tidyverse, data structures, and graphics to build it",5.0 out of 5 stars,"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse"
